pk_name, mk_path, license, version
netmodel-vlan, feeds/feed_netmodel/libs/netmodel-vlan/Makefile, BSD-2-Clause-Patent, v1.0.1-1
netmodel-xpon, feeds/feed_netmodel/libs/netmodel-xpon/Makefile, BSD-2-Clause-Patent, v0.1.1-1
mod-netmodel, feeds/feed_netmodel/mods/mod-netmodel/Makefile, BSD-2-Clause-Patent, v0.5.3-1
netmodel, feeds/feed_netmodel/plugins/netmodel/Makefile, BSD-2-Clause-Patent, v2.17.0-1
netmodel-clients, feeds/feed_netmodel/plugins/netmodel-clients/Makefile, BSD-2-Clause-Patent, v0.2.1-1
libswl, feeds/feed_wifi_swl/libs/libswl/Makefile, SAH, v6.3.0-1
libswla, feeds/feed_wifi_swl/libs/libswla/Makefile, BSD-2-Clause-Patent, v3.12.2-1
libswlc, feeds/feed_wifi_swl/libs/libswlc/Makefile, BSD-2-Clause-Patent, v5.27.3-1
mod-whm-dummy, feeds/feed_wifi_core/modules/mod-whm-dummy/Makefile, BSD-2-Clause-Patent, v0.2.0-1
pwhm, feeds/feed_wifi_core/plugins/pwhm/Makefile, BSD-2-Clause-Patent, v6.29.2-1
prpl-webui, feeds/feed_prpl/network/utilities/prpl-webui/Makefile, BSD-2-Clause-Patent, 0.2.7-1
tr181-rest-api, feeds/feed_prpl/network/utilities/tr181-rest-api/Makefile, BSD-2-Clause-Patent, v0.1.1-1
prpl-configuration, feeds/feed_prpl/prpl-configuration/Makefile, BSD-2-Clause-Patent, v0.2.0-1
prpl-configuration-qca-ipq95xx, feeds/feed_prpl/prpl-configuration/Makefile, BSD-2-Clause-Patent, v0.2.0-1
prplmesh, feeds/feed_prpl/prplmesh/Makefile, , 4.2.6-1
prplmesh-unit-tests, feeds/feed_prpl/prplmesh/Makefile, , 4.2.6-1
mod-whm-dummy, feeds/feed_prpl/prplmesh/modules/mod-whm-dummy/Makefile, BSD-2-Clause-Patent, v0.1.1-1
mod-whm-freedom, feeds/feed_prpl/prplmesh/modules/mod-whm-freedom/Makefile, BSD-2-Clause-Patent, 0.0.1-1
mod-whm-haze, feeds/feed_prpl/prplmesh/modules/mod-whm-haze/Makefile, BSD-2-Clause-Patent, 0.0.1-1
mod-whm-qca-ipq95xx, feeds/feed_prpl/prplmesh/modules/mod-whm-qca-ipq95xx/Makefile, BSD-2-Clause-Patent, v0.1.0-1
station-sniffer, feeds/feed_prpl/station-sniffer/Makefile, BSD-2-Clause, 2023-10-26-1
obuspa-usp-app, feeds/feed_prpl/usp/example/obuspa-usp-app/Makefile, MIT, v1.0.0-1
