pk_name, mk_path, license, version
libswlc, feeds/feed_prpl/prplmesh/libs/libswlc/Makefile, BSD-2-Clause-Patent, v5.20.0-1
mod-whm-dummy, feeds/feed_prpl/prplmesh/modules/mod-whm-dummy/Makefile, BSD-2-Clause-Patent, v0.1.1-1
mod-whm-freedom, feeds/feed_prpl/prplmesh/modules/mod-whm-freedom/Makefile, BSD-2-Clause-Patent, 0.0.1-1
mod-whm-haze, feeds/feed_prpl/prplmesh/modules/mod-whm-haze/Makefile, BSD-2-Clause-Patent, 0.0.1-1
mod-whm-qca-ipq95xx, feeds/feed_prpl/prplmesh/modules/mod-whm-qca-ipq95xx/Makefile, BSD-2-Clause-Patent, v0.1.0-1
pwhm, feeds/feed_prpl/prplmesh/plugins/pwhm/Makefile, BSD-2-Clause-Patent, v5.45.0-1
station-sniffer, feeds/feed_prpl/station-sniffer/Makefile, BSD-2-Clause, 2023-10-26-1
libtr69-engine, feeds/feed_prpl/tr69/libraries/libtr69-engine/Makefile, Apache-2.0, v0.8.5-1
tr069-manager, feeds/feed_prpl/tr69/plugins/tr069-manager/Makefile, BSD-2-Clause-Patent, v1.31.3-1
obuspa-usp-app, feeds/feed_prpl/usp/example/obuspa-usp-app/Makefile, MIT, v1.0.0-1
libimtp, feeds/feed_prpl/usp/libs/libimtp/Makefile, BSD-2-Clause-Patent, v2.1.0-1
libusp, feeds/feed_prpl/usp/libs/libusp/Makefile, BSD-2-Clause-Patent, v2.6.7-1
libuspi, feeds/feed_prpl/usp/libs/libuspi/Makefile, BSD-2-Clause-Patent, v1.0.3-1
libuspprotobuf, feeds/feed_prpl/usp/libs/libuspprotobuf/Makefile, BSD-3-Clause, v0.5.1-1
mod-amxb-usp, feeds/feed_prpl/usp/mods/mod-amxb-usp/Makefile, BSD-2-Clause-Patent, v4.4.0-1
mod-usp-registration, feeds/feed_prpl/usp/mods/mod-usp-registration/Makefile, BSD-2-Clause-Patent, v0.1.1-1
